ID,Description
CAR065V1,Select Elite Live Sativa Hybrid Orange Window Box w THC
CAR082,Select  510 Rosin Box
CAR084,Select FL Elite X EZLSL
CAR087,Grassroots FL Concentrate Insert
MSC067,Grassroots FL Shatter Pouch
CAR071,Select Elite Live Sativa YellowWindowBox
CAR079,Select Ciq Live Rosin Pod
CAR058,"Select (Red, Hybrid)"
MSC102,Select Orange X Bite Pouch Rebrand
BOT060,Find 1g Unbranded cart w. White mouthpiece
CAR078,Select Cliq Kit Box
CAR088,EZ Lock Box
BOT049,Two-Piece CL vape cart with clear mouthpiece
BOT053,Two-Piece Rosin Cartridge with Select Logo  (Cartridge)
BOT054,Select Essentials 1g Vape Cart
BOT046,0.3 g Cartridge & Mouth Piece
BOT051,Select Cliq Pod 0.5g w. Black MPC
BOT037,Two-Piece Cartridge with Select Logo
BOT050,Select Cliq Pod – 1.0g
CAR057,50ct  Preroll Insert DIVIDER
MSC064,Rosin Carts Mylar Bags
CAR085,Insert Precision Gel bottles 11x11x5
BOT057,Select Essentials Disposable Vape Pen
BOT064,Select Essentials AiO Stiq 1g Vape
BOT058,Select Essentials Disposable Briq 2g
CAR059v1,"Select (Purple, Indica) w THC"
CAR079 INS,CAR079 Inserts
CAR092,Beverage cases
LAB100,Elite Live Coverup Label
LAB140,Place Holder: New kief label replacing CAR77
LAB141,Place Holder: New rosin label replacing CAR081
MSC018,Breast Cancer Awareness Pre-Rolled Cones
MSC026,Pride Pre Rolled Cones
MSC041V1,Mints Pouch v1
MSC050,Inner White Pouch 3x4.5 w/ THC
MSC053,"Inner White Pouch 2"" x 2.5"" Without THC Logo"
MSC079,GR Humidity Pack
MSC079V1,GR Humidity Pack New Version
MSC090,CL Flower/Smalls Pouch 14g
MSC091,CL Flower/Smalls Pouch 28g
MSC111,Select Mega X Bite 10 ct - Strawberry
MSC113,Select Mega X Bite 10 ct - Orange
MSC119,BNoble Branded 1g Pre-Rolled Cones – 109mm
MSC120,Curaleaf Branded 1g Pre-Rolled Cones – 109 mm
MSC121,2G Dessicants for JAMS Chews
MSC124,1G Dessicants for Lozenges
BOT053 MP,Two-Piece Rosin Cartridge with Select Logo  (Mouthpiece)
BOT061,UKU Branded Vape Cart 1G
BOT062,Beverage Cans
MPC002,Select Rosin Cartridge Mouthpiece BOT053
MPC003,"Clear Tapered Mouthpiece for Curaleaf and Essentials BOT037, BOT049, & BOT054"
MPC004,Essential .3g Disposable Vape Mouthpieces BOT057
MPC005,Barrel Mouthpiece for UKU and Liquid Diamonds BOT037 & BOT060
MPC006,White Tapered Mouthpieces for FIND BOT060
MSC133,SL-JAMS-FL-EDBL-03-CHEWS-POUCH
MSC134,SL-XBT-FL-EDBL-03-BLCKBRRY-POUCH
MSC135,CL-FND-FL-FLWR-03-7G-POUCH
MSC136,SL-JAMS-FL-EDBL-RATIO-CHEWS-POUCH
